                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                0.72817,                0.71718,                 1.1949,                0.92991,                0.91279,                0.97517,                0.77662,                 0.7058,                0.71676,                 1.3377,                0.00208,                0.00208,                0.00208
                     82,                0.89572,                0.74944,                 1.2851,                0.90827,                0.95833,                0.97609,                0.77995,                0.68754,                0.68083,                 1.3188,               0.001981,               0.001981,               0.001981
                     83,                0.68016,                0.66943,                 1.1772,                0.90847,                0.94929,                0.96986,                0.78575,                0.67347,                0.61339,                  1.287,               0.001882,               0.001882,               0.001882
                     84,                0.71423,                0.67791,                 1.1723,                0.91189,                0.88474,                  0.963,                0.79555,                0.65531,                0.60353,                 1.2564,               0.001783,               0.001783,               0.001783
                     85,                0.77588,                0.82321,                 1.2515,                0.89055,                0.90113,                0.96833,                0.82642,                0.62226,                 0.5828,                 1.2012,               0.001684,               0.001684,               0.001684
                     86,                0.69943,                0.62397,                 1.2028,                0.89364,                0.90053,                0.97318,                 0.8092,                0.61729,                0.55274,                 1.2051,               0.001585,               0.001585,               0.001585
                     87,                0.66587,                0.60469,                 1.1501,                0.85195,                0.95802,                 0.9612,                0.78981,                0.62239,                 0.5728,                 1.2195,               0.001486,               0.001486,               0.001486
                     88,                0.66481,                0.61239,                 1.1341,                0.83551,                0.95833,                0.96567,                0.79075,                0.63334,                0.56531,                 1.2278,               0.001387,               0.001387,               0.001387
                     89,                0.67603,                0.58248,                 1.2047,                0.85706,                0.92355,                0.96695,                0.78427,                0.65099,                0.58249,                 1.2347,               0.001288,               0.001288,               0.001288
                     90,                0.78708,                0.67158,                 1.3374,                0.81251,                0.94588,                0.95367,                0.77519,                0.65169,                 0.5929,                 1.2234,               0.001189,               0.001189,               0.001189
                     91,                0.55374,                0.57672,                 1.1325,                0.82875,                0.91667,                0.93525,                0.74995,                0.65376,                0.60331,                 1.2196,                0.00109,                0.00109,                0.00109
                     92,                 0.5552,                0.52314,                 1.1194,                0.84503,                0.91667,                0.93448,                0.76035,                0.62957,                0.60131,                 1.1822,               0.000991,               0.000991,               0.000991
                     93,                0.52189,                0.46581,                 1.1541,                 0.8541,                0.91667,                0.92897,                0.77329,                0.60189,                0.58788,                 1.1496,               0.000892,               0.000892,               0.000892
                     94,                0.47877,                0.59785,                 1.1566,                0.84755,                0.91667,                0.93946,                0.77894,                0.61189,                0.57983,                  1.162,               0.000793,               0.000793,               0.000793
                     95,                0.51377,                0.40621,                 1.0558,                0.93214,                0.89214,                0.95108,                0.78814,                 0.6174,                0.56939,                 1.1728,               0.000694,               0.000694,               0.000694
                     96,                0.64944,                0.83095,                 1.1192,                0.92504,                0.91553,                0.95558,                0.78062,                0.63083,                0.55931,                 1.2079,               0.000595,               0.000595,               0.000595
                     97,                0.44237,                0.43607,                 1.0384,                0.88829,                0.93116,                0.96542,                0.78945,                0.60593,                0.55052,                 1.1634,               0.000496,               0.000496,               0.000496
                     98,                0.47767,                0.42595,                  1.132,                0.88539,                0.93018,                0.96542,                0.80897,                 0.6012,                 0.5343,                 1.1504,               0.000397,               0.000397,               0.000397
                     99,                0.85509,                0.94508,                 1.5047,                0.96097,                0.89761,                0.96291,                0.80029,                0.60395,                0.52166,                 1.1522,               0.000298,               0.000298,               0.000298
